nameOfAuthor,listOfAuthors,studentPublication,title,Type of Publication,conferenceName,scopus,wos,publicationDetails,year,month,academicYear,url,doi,ISBN,indexingDetails,noOfCitations,abstract,keywords,specialisation,status,link
Gali Suresh Reddy,Sai Gayatri Vadali and Gali Suresh Reddy,Yes,Artificial Intelligence-Based Automatic Evaluation Engine,Book Chapter,Smart Computing Techniques and Applications,Yes,No,vol 225. pg-225-234,2021,July,2020-21,https://link.springer.com/chapter/10.1007%2F978-981-16-0878-0_77#citeas,https://doi.org/10.1007/978-981-16-0878-0_77,ISBN 978-981-16-0877-3,"Scopus, Google Scholar",0,,"Natural language processing,Evaluation of transcripts,Semantic extraction,Topic modeling,LDA,LSI",,,
Gali Suresh Reddy,"A.Manisha, G.Suresh Reddy, kshira sagar sahoo",Yes,Software Define Industrial IoT for Smart City Applications,Book Chapter,Software-Defined Networking for Future Internet Technology,Yes,Yes,"Edition-1st Edition, First Published2021, ImprintApple Academic Press, Pg-237-254.",2021,July,2020-21,https://www.taylorfrancis.com/chapters/edit/10.1201/9781003145721-9/software-defined-industrial-iot-smart-city-applications-manisha-suresh-reddy-kshira-sagar-sahoo,,ISBN-9781003145721,"Scopus, Google Scholar",,,NA,,,
Gali Suresh Reddy,"K. Durga Prasad Varma, G.Suresh Reddy, J.Narendra, M.Sharukh",Yes,Software-Defined Network and Network Function Virtualization: A Comparative Study,Book Chapter,"Networking for Future Internet Technology, Concepts and Applications,",Yes,No,Pg-254-276,2021,July,2020-21,https://www.taylorfrancis.com/chapters/edit/10.1201/9781003145721-10/software-defined-network-network-function-virtualization-comparative-study-koppada-durgaprasad-varma-suresh-reddy-jangili-narendra-moin-sharukh,,ISBN-9781003145721,"Scopus, Google Scholar",,,NA,,,
Gali Suresh Reddy,"Koppada Durgaprasad Varma, G Suresh Reddy, Jangili Narendra and Moin Sharukh",Yes,Software-Defined Network and Network Function Virtualization : A Comparative Study,Book Chapter,Software Defined Networking for Future Internet Technology - Concepts and Applications,No,No,"Publisher, CRC Press",2021,August,2021-22,https://www.amazon.com/Software-Defined-Networking-Future-Internet-Technology/dp/1771889861,,ISBN-10 ? : ? 1771889861,Google Scholar,,,NA,,,
Gali Suresh Reddy,"A Manisha, G Suresh Reddy and Kshira Sagar Sahoo",Yes,Software-Defined Industrial IoT for Smart City Applications,Book Chapter,Software Defined Networking for Future Internet Technology - Concepts and Applications,No,No,"Publisher, CRC Press",2021,August,2021-22,https://www.amazon.com/Software-Defined-Networking-Future-Internet-Technology/dp/1771889861,,ISBN-10 ? : ? 1771889861,Google Scholar,,,NA,,,
Dr Dammavalam Srinivasa Rao,"P. Sabitha Reddy D. Srinivasa Rao,K. Rajiv,N. Rajasekhar,K. Prasanna Lakshmi",No,Accuracy Evaluation of Plant Leaf Disease Detection and Classification Using GLCM and Multiclass SVM Classifier,Book Chapter,"Congress on Intelligent Systems CIS 2020: Intelligent Learning for Computer Vision,",,,"Springer,Lecture Notes on Data Engineering and Communications Technologies book series (LNDECT, volue 61), Issue 1, Pages 41-54",2021,May,2020-21,https://link.springer.com/chapter/10.1007%2F978-981-33-4582-9_4,https://doi.org/10.1007/978-981-33-4582-9_4,ISBN978-981-33-4581-2,,,ND,"SVM,GLCM,K-means,Accuracy,Deep learning,KNN",,,
Dr Dammavalam Srinivasa Rao,"M Manasa Devi, M Seetha, S Viswanada Raju, D Srinivasa Rao",No,Detection and tracking of text from video using MSER and SIFT,Book Chapter,"Advances in Decision Sciences, Image Processing, Security and Computer Vision",yes,,"Pages 719-727, Publisher Springer, Cham",2019,July,2019-20,https://link.springer.com/chapter/10.1007/978-3-030-24318-0_82,DOI : https://doi.org/10.1007/978-3-030-24318-0_82,ISBN978-3-030-24317-3,,5,,"Extraction,MSER,SIFT,CNN,Detection,Tracking,Extraction,Deep learning",,,
Dammavalam Srinivasa Rao,"· Ch Ramesh Babu,· V. Sravan Kiran,· N. Rajasekhar,· B. Lalith Bharadwaj,· Rohit Boddeda,· K. Sai Vardhan",Yes,Deep Bi-linear Convolution Neural Network for Plant Disease Identification and Classification,Book Chapter,"Springer,ICAICR 2020",yes,yes,"1393,293-305",2021,Aug,2021-22,https://www.tojqi.net/index.php/journal/article/view/5432,https://link.springer.com/chapter/10.1007/978-981-16-3660-8_28,,,1,,NA,,,
Nimmala Mangathayaru,"NV Krishna Rao, NShalini YHarikaDevi, VDivyavani AHarika, Dr N Manga Thayaru",No,Credit Card Fraud Detection Using Spark and Machine Learning Techniques,Book Chapter,"ICACECS2020, Machine Learning Technologies and Applications",,,"Pages 163-172, Publisher Name Springer, Singapore",2021,April,2020-21,https://link.springer.com/chapter/10.1007%2F978-981-33-4046-6_16,https://doi.org/10.1007/978-981-33-4046-6_16,ISBN 978-981-33-4045-9,,4,ND,"Spark,Cassandra,Big data",,,
Nimmala Mangathayaru,"N Mangathayaru, M Lakshmi Lashita, D Sri Pallavi, C Mithila Reddy","N Mangathayaru, M Lakshmi Lashita, D Sri Pallavi, C Mithila Reddy",TEAP-Technically Equipped Agricultural Practice,Book Chapter,Intelligent System Design,,,"Advances in Intelligent Systems and Computing, vol 1171. Springer, Pages 361-367, Publisher Springer, Singapore",2020,August,2020-21,https://link.springer.com/chapter/10.1007/978-981-15-5400-1_37,https://doi.org/10.1007/978-981-15-5400-1_37,ISBN 978-981-15-5399-8,,0,ND,"Agriculture,Farmers,Internet of things,Analytics",,,
Nimmala Mangathayaru,"G Nagaraju, N Mangathayaru, B Padmaja Rani",,MST Parser for Telugu Language,Book Chapter,Proceedings of the Third International Conference on Computational Intelligence and Informatics,,,"the Advances in Intelligent Systems and Computing book series (AISC, volume 1090)",2020,March,2019-20,https://link.springer.com/chapter/10.1007/978-981-15-1480-7_23,DOI https://doi.org/10.1007/978-981-15-1480-7_23,Print ISBN 978-981-15-1479-1,,,,"MST parser,Telugu treebank,Eisner,Chu�Liu Edmonds,Dependency parsing,Graph-based parsing",,,
Nimmala Mangathayaru,"B Mathura Bai, N Mangathayaru, B Padmaja Rani",,Diabetes Complications Prediction Using Different Multi-label Classification Algorithms-MEKA,Book Chapter,"International Conference on Intelligent Computing and Communication Technologies, ICICCT 2019 – System Reliability, Quality Control, Safety, Maintenance and Management",,,"Pages 386-396, Publisher Springer, Singapore",2019,January,2018-19,https://link.springer.com/chapter/10.1007/978-981-13-8461-5_43,https://doi.org/10.1007/978-981-13-8461-5_43,ISBN978-981-13-8460-8,,,,"Diabetes Mellitus,Multi-label classification,MEKA,NCD",,,
Nimmala Mangathayaru,"Nimmala Mangathayaru, B Mathura Bai, Panigrahi Srikanth",,Clustering and classification of effective diabetes diagnosis: computational intelligence techniques using PCA with kNN,Book Chapter,International Conference on Information and Communication Technology for Intelligent Systems,,,"International Conference on Information and Communication Technology for Intelligent Systems, ICTIS 2017, Volume 1, Pages 426-440, Publisher Springer, Cham,",2017,August,2016-17,https://link.springer.com/chapter/10.1007/978-3-319-63673-3_52,DOI https://doi.org/10.1007/978-3-319-63673-3_52,ISBN 978-3-319-63672-6,,,,"Diabetes disease,Clustering,Classification,Distribution function and PCA with kNN",,,
