nameOfAuthor,listOfAuthors,studentPublication,title,Type of Publication,conferenceName,scopus,wos,publicationDetails,year,month,academicYear,url,doi,ISBN,indexingDetails,Citations,Abstract,keywords,specialization,status,LINK
Gali Suresh Reddy,"Shadi Aljawarneh, Vangipuram Radhakrishna, Gali Suresh Reddy",No,Mantra: a novel imputation measure for disease classification and prediction,Conference,"Proceedings of the first international conference on data science, E-learning and information systems",yes,no,Pages 1-5,2018,October,2018-19,https://dl.acm.org/doi/abs/10.1145/3279996.3280021,https://doi.org/10.1145/3279996.3280021,ISBN: 978-1-4503-6536-9,"WoS, SCOPUS, Google Scholar",37,,NA,,,
Gali Suresh Reddy,"Gunupudi Rajesh Kumar, Nimmala Mangathayaru, Gugulothu Narsimha, Gali Suresh Reddy",No,Evolutionary approach for intrusion detection,Conference,2017 International Conference on Engineering & MIS (ICEMIS),yes,no,"Pages 1-6, Publisher IEEE,",2017,May,2016-17,https://ieeexplore.ieee.org/abstract/document/8273116/,10.1109/ICEMIS.2017.8273116,ISSN: 2575-1328,"WoS, SCOPUS, Google Scholar",14,ND,"Intrusion Detection,Anomaly,Classifier,Accuracy,Gaussian,Fuzzy Feature Clustering",,,
Gali Suresh Reddy,G Suresh Reddy,No,Dimensionality reduction approach for high dimensional text documents,Conference,2016 International Conference on Engineering & MIS (ICEMIS),yes,no,"Pages 1-6, Publisher IEEE",2016,September,2016-17,https://ieeexplore.ieee.org/abstract/document/7745364,10.1109/ICEMIS.2016.7745364,ISBN:978-1-5090-5580-7,"WoS, SCOPUS, Google Scholar",11,ND,"feature selection,feature reduction,clustering,classification,dimensionality",,,
Gali Suresh Reddy,"G SureshReddy, TV Rajinikanth, A Ananda Rao",No,Design and analysis of novel similarity measure for clustering and classification of high dimensional text documents,Conference,Proceedings of the 15th International Conference on Computer Systems and Technologies,yes,no,Pages 194-201,2014,June,2013-14,https://dl.acm.org/doi/abs/10.1145/2659532.2659615,https://doi.org/10.1145/2659532.2659615,ISBN: 978-1-4503-6536-9,"WoS, SCOPUS, Google Scholar",17,,NA,,,
Gali Suresh Reddy,"G Suresh Reddy, TV Rajinikanth, A Ananda Rao",No,A frequent term based text clustering approach using novel similarity measure,Conference,2014 IEEE International Advance Computing Conference (IACC),yes,no,"Pages 495-499, Publisher IEEE",2014,February,2013-14,https://ieeexplore.ieee.org/abstract/document/6779374,10.1109/IAdCC.2014.6779374,ISBN:978-1-4799-2572-8,"WoS, SCOPUS, Google Scholar",22,,"Commanality measure,frequent item,Clustering,Apriori",,,
Gali Suresh Reddy,B. Yogesh; G.Suresh Reddy,Yes,Detection of Malware in the Network Using Machine Learning Techniques,Conference,"2022 International Conference on Recent Trends in Microelectronics, Automation, Computing and Communications Systems (ICMACC)",No,No,28-30 December 2022,2022,December,2022-23,https://ieeexplore.ieee.org/abstract/document/10093525,https://doi.org/10.1109/ICMACC54824.2022.10093525,978-1-6654-9604-9,Google Scholar,,,"Malware,Phishing,Defacement,URL,LR,NB Classifier,RFA",,,
B Jalender,"B Jalender, A Govardhan, P Premchand",No,Automation of component selection process for designing of reusable components using drag and drop mechanism,Conference,"Inventive Systems and Control (ICISC), 2017 International Conference on",,,"Pages 1-5, Publisher IEEE",2017,January,2016-17,https://ieeexplore.ieee.org/abstract/document/8068594,DOI: 10.1109/ICISC.2017.8068594,ISBN:978-1-5090-4716-1,,2,,"component,software reuse,component reuse,context,component description,reuse model,automation",,,
B Jalender,"B Jalender, A Govardhan, P Premchand",No,A Novel approach for classifying software reusable components for upload and download,Conference,"Contemporary Computing and Informatics (IC3I), Mysore, India",Yes,,"2014 International Conference on Contemporary Computing and Informatics (IC3I), Pages 71-75, Publisher IEEE",2014,November,2014-15,https://ieeexplore.ieee.org/abstract/document/7019669,DOI: 10.1109/IC3I.2014.7019669,ISBN:978-1-4799-6629-5,,1,,"Reuse,code,component,classification,tree",,,
B Jalender,"B Jalender ,P.N.reddy",No,Design of reusable components using drag and drop mechanism,Conference,"Information Reuse and Integration, 2006 IEEE International Conference",Yes,,IEEE,2006,September,2006-07,https://ieeexplore.ieee.org/abstract/document/4018515,https://doi.org/10.1109/IRI.2006.252438,0-7803-9788-6,,6,,"Reuse,Drag and Drop,Drag Over,Drag Under,Component,repository",,,
V Radhakrishna,"Rajasai Bandaru, Sahithi Pola, Sai Anirudh Thadem, Keerthi Pendyala, Radhakrishna Vangipuram, Sravan Kiran Vangipuram",No,Design and analysis of activation functions used in deep learning models,Conference,The 7th International Conference on Engineering & MIS 2021,Yes,Yes,ICEMIS'21: The 7th International Conference on Engineering & MIS 2021October 2021 Article No.: 10Pages 1–5,2021,December,2021-22,,https://doi.org/10.1145/3492547.3492575,ISBN: 978-1-4503-9044-6,,,,NA,,,VRK-C100
V Radhakrishna,"Arun Nagaraja, Uma Boregowda, Radhakrishna Vangipuram",No,Fuzzy Feature Similarity Functions for Feature Clustering and Dimensionality Reduction,Conference,"DATA'21: International Conference on Data Science, E-learning and Information Systems 2021",Yes,Yes,April 2021 Pages 219–224,2021,April,2020-21,https://dl.acm.org/doi/abs/10.1145/3460620.3460758,https://doi.org/10.1145/3460620.3460758,ISBN: 978-1-4503-8838-2,,,,NA,,,VRK-C096
V Radhakrishna,"Arun Nagaraja, Uma Boregowda, Radhakrishna Vangipuram",No,Study of Detection of DDoS attacks in cloud environment Using Regression Analysis,Conference,"DATA'21: International Conference on Data Science, E-learning and Information Systems 2021",Yes,Yes,Pages 166–172,2021,April,2020-21,https://dl.acm.org/doi/10.1145/3460620.3460750,https://doi.org/10.1145/3460620.3460750,,,,,NA,,,VRK-C095
