nameOfAuthor,listOfAuthors,studentPublication,title,typeOfPublication,nameOfPublicationPlatform,scopus,wos,publicationDetails,year,month,academicYear,url,doi,identificationNumber,indexing,noOfCitations,abstract,keywords,specialization,status,link,dateOfPublication,Unnamed: 23,Unnamed: 24,Unnamed: 25
Gali Suresh Reddy,"Vangipuram Radhakrishna, Gali Suresh Reddy, Puligadda Veereswara Kumar, Vinjamuri Janaki",No,Challenge Paper: The Vision for Time Profiled Temporal Association Mining,Journal,Journal of Data and Information Quality (JDIQ),yes,no,"Volume 13, Issue 2, Pages 1-8, Publisher ACM",2021.0,May,2020-21,https://dl.acm.org/doi/fullHtml/10.1145/3404198,https://doi.org/10.1145/3404198,ISSN:1936-1955,"WoS, SCOPUS, Google Scholar",3.0,The Vision for Time Profiled Temporal Association Mining,"Temporal data mining, similarity model, support sequence, time profiled temporal association pattern",,,,2021-05-13,,,
Gali Suresh Reddy,"Shadi Aljawarneh, Vangipuram Radhakrishna, Gali Suresh Reddy",No,Mantra: a novel imputation measure for disease classification and prediction,Conference,"Proceedings of the first international conference on data science, E-learning and information systems",yes,no,Pages 1-5,2018.0,October,2018-19,https://dl.acm.org/doi/abs/10.1145/3279996.3280021,https://doi.org/10.1145/3279996.3280021,ISBN: 978-1-4503-6536-9,"WoS, SCOPUS, Google Scholar",37.0,"Medical record instances can have missing values which makes them unsuitable for learning process. Data Imputation is normally done to fill one or more missing data attribute values. Imputation helps to perform supervised or un-supervised learning after the dataset is free from missing data. Learning process helps the discovery of hidden, valuable and important information that can provide insightful results. Imputation is a data pre-processing task that requires applying distance function to find missing values. In this paper, a distance function named MANTRA is proposed to impute missing data values. The distance function is also called as the imputation measure since it is designed for imputation of missing values. A working example is demonstrated that shows how imputation is achieved using proposed distance function, MANTRA. It is proved that the nominal value that is filled after imputation is same as the original.","medical record instances, data imputation, learning process, distance function, missing values.",,,,2018-10-01,,,
Gali Suresh Reddy,"Rajesh Kumar Gunupudi, Mangathayaru Nimmala, Narsimha Gugulothu, Suresh Reddy Gali",No,CLAPP: A self constructing feature clustering approach for anomaly detection,Journal,Future Generation Computer Systems,yes,yes,"Volume 74, Pages 417-429, Publisher Elsevier, North-Holland",2017.0,September,2017-18,https://www.sciencedirect.com/science/article/abs/pii/S0167739X16308718,https://doi.org/10.1016/j.future.2016.12.040,ISSN 0167-739X,"WoS, SCOPUS, Google Scholar",61.0,"The term internet of things is a buzz word these days and as per Google survey conducted recently, it has even dominated the buzz word big data predominantly. However, IoT area is still not matured and is throwing light on lot of research issues towards the data mining researchers. Security in IoT throws several challenges because of limited resources. In this context, IoT gains importance once again from data miners towards anomaly mining or intrusion detection. Intrusion detection is classified as NP-class in the literature even today. Algorithms addressing privacy and security issues in IoT must consider the complexities involved and hence require re-attention from all researchers. One more problem faced when judging for intrusion is the use of high dimensionality, classifier choice, and distance measure. For example, the traditional distance measure, such as Euclidean misjudges the similarity. In this paper, the objective is to design a fuzzy membership function to address both dimensionality and anomaly mining so as reduce the computational complexity and increase computational accuracies of classifier algorithms. We validate the proposed measure using several experimentations on NSL-KDD and DARPA datasets using kNN, J48 and CANN using Gaussian measure. Improved accuracies of classifiers on U2R and R2L attacks have been recorded in the experimental results obtained for experiments conducted."," internet of things, data mining, security, intrusion detection, computational complexity.",,,,2017-09-01,,,
Gali Suresh Reddy,"Gunupudi Rajesh Kumar, Nimmala Mangathayaru, Gugulothu Narsimha, Gali Suresh Reddy",No,Evolutionary approach for intrusion detection,Conference,2017 International Conference on Engineering & MIS (ICEMIS),yes,no,"Pages 1-6, Publisher IEEE,",2017.0,May,2016-17,https://ieeexplore.ieee.org/abstract/document/8273116/,10.1109/ICEMIS.2017.8273116,ISSN: 2575-1328,"WoS, SCOPUS, Google Scholar",14.0,"In this work, we design and propose an improved fuzzy membership function to detect anomalies and intrusions. The objective of the present approach is to achieve an optimal transformation matrix which can improve classifier accuracies. The transformation matrix is aimed at mapping the original process onto a new fuzzy space, so that the resultant representation is free from noise data and facilitates to improve the overall accuracy and also individual class accuracies. Experimental results show that accuracies obtained using our approach is better compared to other approaches. In particular U2R and R2L accuracies are recorded to be very much promising. This research shows an approach which addresses the improvement in overall accuracy and also improvement in detecting R2L and U2R attack accuracies. In future, we plan to extend this work by applying new measures for dimensionality reduction and classification for improving U2R and R2L attack classification accuracies.","Intrusion detection,Dimensionality reduction,Frequency measurement,Feature extraction,Classification algorithms,Protocols,Knowledge based systems",,,,2018-02-01,,,
Gali Suresh Reddy,"Dr.A.Ananada Rao G.Suresh Reddy , Dr.T.V.Rajinikanth",No,TEXT CLUSTERING USING FREQUENT PATTERNS AND JACCARD DISSIMILARITY FUNCTION,Conference paper,IACC conference 2012-12-12 ,Yes,No,IACC conference 2012-12-12 ,2017.0,October,2016-17,https://orcid.org/0000-0001-5214-2690,,,"Scopus,Google Scholar",0.0,,,,,,2017-10-17,,,
Gali Suresh Reddy,G.Suresh Reddy,No,Text document clustering and classified using improved similarity measures,,Anantapuram,No,No,Anantapuram,2016.0,June,2015-16,"
http://hdl.handle.net/10603/135329",,,"Shodhganga,Google Scholar",0.0,,,,,,2016-06-28,,,
Gali Suresh Reddy,"Gali Suresh Reddy, TV Rajinikanth",No,A TEXT SIMILARITY MEASURE FOR DOCUMENT CLASSIFICATION.,Journal,IADIS International Journal on Computer Science & Information Systems,yes,yes,"Volume 12, Issue 1, pp. 14-25",2017.0,January,2016-17,http://www.iadisportal.org/ijcsis/papers/2017200102.pdf,,ISSN: 1646-3692,"Scopus, Google Scholar",6.0,"Dimensionality reduction is very challenging and important in text mining. We need to know which features be retained what to be and It helps in reducing the processing overhead when performing text classification and text clustering. Another concern in text clustering and text classification is the similarity measure which we choose to find the similarity degree between any two text documents. In this paper, we work towards text clustering and text classification by addressing the use of the proposed similarity measure which is an improved version of our previous measures. This proposed measure is used for supervised and un-supervised learning. The proposed measure overcomes the disadvantages of the existing measures.","Feature Selection, Feature Reduction, Clustering, Classification, Dimensionality",,,,2017-01-01,,,
Gali Suresh Reddy,"TV Rajinikanth, G Suresh Reddy",No,A SOFT SIMILARITY MEASURE FOR K-MEANS BASED HIGH DIMENSIONAL DOCUMENT CLUSTERING.,Journal,IADIS International Journal on Computer Science & Information Systems,yes,yes,"Vol. 12 Issue 1, p88-108. 21p",2017.0,January,2016-17,http://oaji.net/articles/2019/3083-1576243848.pdf,,ISSN: 1646-3692,"Scopus, Google Scholar",3.0,"Feature dimensionality has always been one of the key challenges in text mining as it increases complexity when mining documents with high dimensionality. High dimensionality introduces sparseness, noise, and boosts the computational and space complexities. Dimensionality reduction is usually addressed by implementing either feature reduction or feature selection techniques. In this work,the problem of dimensionality reduction is addressed using singular value decomposition and the results are compared to information gain approach through retaining top-k features. High dimensional clustering is carried by using k-means algorithm with gaussian function. The proposed dimensionality reduction and clustering approaches are compared to conventional approaches and results prove the importance of our approach.","Feature Selection, Feature Reduction, Clustering, Classification, Dimensionality",,,,2017-01-01,,,
Gali Suresh Reddy,"Dr.C.Sunil Kumar Dr A, Srinivasa rao, Dr.A.Venkata Ramana, Dr.G.Suresh Reddy",No,Removal based improved replication control and fault tolerance method for traffic data management,Journal,International journal of computer science and information security,No,No,"Volume16,Issue3,Pages 141-154",2018.0,March,2017-18,https://scholar.google.co.in/citations?view_op=view_citation&hl=en&user=TWM5sRQAAAAJ&pagesize=80&citation_for_view=TWM5sRQAAAAJ:ZeXyd9-uunAC,,,Google Scholar,0.0,,,,,,2018-03-01,,,
Gali Suresh Reddy,G.Suresh Reddy P.Neelakantan M. Gangappa,No,Examining the use of affective computing in online education,Journal,international journal of research and analytical reviews,No,No,"Volume 5,Issue 4,Pages 952-956",2018.0,November,2017-18,https://scholar.google.co.in/citations?view_op=view_citation&hl=en&user=TWM5sRQAAAAJ&pagesize=80&citation_for_view=TWM5sRQAAAAJ:HDshCWvjkbEC,,,Google Scholar,0.0,,,,,,2018-11-01,,,
